United_States_of_America,China,Germany,United_Kingdom,Japan,France,Korea__Republic_of,Italy,Canada,Netherlands,Mexico,Belgium,India,Spain,Singapore,Switzerland,Turkey,Thailand,Australia,Poland,Russian_Federation,Malaysia,Austria,Czech_Republic,Sweden,Brazil,Indonesia,Hungary,Philippines,Denmark,Ireland,Slovakia,South_Africa,Romania,Norway,Portugal,Israel,Finland,Chile,Greece,Colombia,New_Zealand,Peru,Slovenia,Bulgaria,Belarus,Lithuania,Kazakhstan,Croatia,Sri_Lanka,Tunisia,Luxembourg,Dominican_Republic,Guatemala,Ethiopia,Ecuador,Estonia,Costa_Rica,Uruguay,Tanzania__United_Republic_of
20012245,7005805,40877388,31402186,2182284,40813156,1431280,18988962,1704898,42271650,1073584,0,8337646,7848511,1322274,4799737,3146924,850565,1241877,4585281,1868686,664963,3489869,2363188,5995477,1622900,559364,2125969,393267,2682191,1424509,809672,860911,1602735,1289761,1881070,3274889,1317444,390419,1555394,223646,226566,183655,490177,672809,186995,843968,164909,360654,148165,255852,4374055,82808,173627,258874,152507,230559,48859,45798,63584
46677950,13368553,8545706,9325949,4865169,5953196,4240562,4436030,3079923,3328396,4066865,4569387,0,3473289,5764959,1530135,5613570,2617936,3580674,1725665,2263053,3894747,478899,669621,702374,4289580,2741418,364927,1279162,662643,558680,308445,3940461,267616,406058,508906,1881321,345435,716606,316556,1199232,418527,934700,302767,156047,128439,57394,241774,116421,4268480,244279,43547,168354,271962,1151499,504654,61319,139310,264810,1258872
14679457,5587169,29044903,21605507,3661691,34961291,2335060,20612170,1830988,7884084,4554439,6923533,1923557,0,772833,4745615,5588525,500290,1543482,4059121,2738263,485156,1947527,2463504,1883790,3498702,472547,1444681,344643,1436323,1065023,936020,1243544,1786142,1391112,22084025,1345856,1279191,1536396,1711881,915251,367587,706065,455000,1378797,249389,549095,219987,430042,41363,847684,242869,533067,262932,133192,378536,224355,218074,232452,31671
18520357,27580763,6557909,1484674,7905145,2805304,7942069,279839,746145,4156083,1328253,5910637,7395998,418079,0,2022426,365286,7186651,6959027,1023376,515938,21096238,50818,659328,193041,631922,18022559,331429,4879796,157481,466880,66574,1338030,16051,471715,46718,780853,117282,81500,38555,95748,1262353,60722,8580,30989,16884,3297,66291,4176,922807,24645,10913,11334,35270,15731,46593,6100,46345,8193,91985
31970254,41200166,47827929,10226344,7394862,15968426,2465494,11940468,3543551,2563330,1688776,4831620,21113151,3413257,3757808,0,2449606,4639646,2420414,1529179,1994693,2117225,9272698,1437779,1130328,2366807,634402,662250,310003,651972,1500700,540766,642563,497348,896044,292889,4426081,667480,261971,477858,433289,239390,157558,362043,209874,206646,87148,129479,185743,127134,199535,215120,45631,23792,57191,117404,153620,114964,35792,429073
8353762,2943638,16094742,11067618,626174,7407847,789555,7373849,1012379,2804501,668374,3878358,989334,5356927,585716,6102771,0,232428,613151,2861407,4068852,474391,1574758,1267899,1182424,566800,249821,766606,103317,921188,550544,542273,491633,2535889,730340,495442,2446072,444978,245345,1476949,239944,128408,233932,1203332,1659509,487067,154647,741917,244371,49534,787589,56401,69919,25385,515412,52530,114318,62410,53371,78560
29627418,37168745,5751533,3627638,20426678,2887654,4854347,1351127,2436295,2562935,4957935,1533756,5650145,1064552,7774486,2602298,1209785,0,10197011,729013,1495528,10729484,391079,1170299,452535,1673252,8083368,420125,4433704,399577,634254,221927,1792607,152200,418396,133159,555645,229934,733628,104618,297483,1513167,623787,36723,30492,41876,17504,73262,20454,497185,152530,27402,88905,169342,144083,147863,60210,180002,37072,92058
10965063,73509971,2043563,2881054,34791622,1034506,16436976,560817,1313836,1095946,598795,1178726,9411865,548584,3212725,535798,544815,4197910,0,328002,575414,4487114,67474,150577,265386,1052870,4815795,38718,845209,131840,111551,55226,843122,27204,100923,40260,158935,110861,270240,9778,44648,4330138,131600,2174,164107,8822,4753,67034,2587,268203,7098,10568,10099,11478,9637,17169,6092,8234,8837,103176
5848185,2741951,49594142,12434605,1065019,9904822,696267,9523182,1379714,8323595,1130177,4085670,571453,4995355,408542,1802319,2977656,180336,572828,0,3839509,187994,3094646,11159827,4775967,529490,150374,5007159,27552,2845744,596147,3745922,571268,3384117,2340663,649211,268982,1448251,105108,567256,90165,81636,76512,691552,911514,1083533,2901974,340546,579442,22961,116769,240608,15652,2906,35090,17511,881372,9752,10624,25159
17162435,33258663,33681667,6701672,15740536,7009975,11308286,15981500,812515,15503809,1543263,9225068,4527091,3708630,5137193,1651120,20399806,1638239,252487,14359228,0,745589,554868,4194560,4521208,2220890,992640,3642934,322859,1437609,177179,3870111,375756,2207503,1409743,706207,726366,6587282,61594,3781991,403815,363440,329435,284590,3499201,16894290,4596899,10529281,477791,242098,815397,28294,171907,44856,83834,189741,1543897,40554,66164,123176
34719023,53277331,7833052,2637993,21499265,2269967,8609434,988072,2064920,7436985,7463152,1009285,9559921,786984,33056869,671536,1339194,11871318,7391929,957007,1322671,0,191317,986471,381007,1537343,8530668,320958,3304771,214016,309605,538472,692880,86291,346260,59795,15234,192442,302869,77298,170125,1217329,160295,98684,44741,45398,8088,96317,11717,511358,60777,17952,39703,34338,172985,93173,71073,38257,25845,168923
11432263,4968031,41196922,4692249,1551177,6065381,1175430,9412097,1400446,2421820,1106836,2007726,784163,2199848,1052580,7835029,1567926,357170,840181,3335876,1751613,633551,0,4189915,1667621,901149,316176,5997546,71243,783041,290973,1977295,470334,2690976,537060,334386,408132,558997,293198,445801,175248,139248,120710,3039434,786070,164166,374942,190776,1881679,81204,84254,117151,12394,11117,49361,68848,109495,27073,20076,18012
4646155,2780453,43476874,7445307,683948,6836152,577188,6143256,456429,5727078,1156490,3613264,524379,4052553,291277,2465084,2218334,168614,630244,6361732,2679134,226075,6564747,0,2013141,432712,145393,4372657,107277,1321948,569555,8210402,455842,1992112,807725,522645,469699,808870,47863,311070,67290,90586,50707,696546,620703,275506,461805,181134,434035,14757,72648,140756,10647,2042,11370,20131,191520,27662,8518,10644
10132840,6416705,15476871,10445744,1870167,6155449,1591657,3871413,1459936,7027316,1003481,6680773,1582112,2580593,1127386,1670110,1585004,790304,1454865,3454717,1827722,461374,1403026,1189792,0,1152386,691166,865005,153898,10498741,546255,377640,787894,415263,8854554,715356,451677,6744043,383599,296155,141959,211419,222065,158355,180082,80949,1093199,107492,120621,85925,110702,112792,47821,32922,635002,46404,884148,32210,43926,59561
28517866,44089358,9159920,3482089,7516851,3238640,4057963,3552066,2929232,4825734,4622107,3117864,4107797,3477592,1381522,1495258,1792241,2087880,483864,1013562,2928294,1736236,155554,269712,601647,0,2425427,202014,318480,202947,525870,99979,1280864,327229,1280740,953436,167353,541763,4858652,116771,2084310,105086,1933826,331586,33617,124484,27464,127698,43213,127241,309231,13944,554936,226976,41515,730215,40998,296026,1626113,17000
20655129,19886194,4456243,1834503,19753819,1858661,8850394,2210915,1308199,2774986,1327100,1362900,13902025,1843746,14372166,1371056,1638245,6535298,4213360,672837,1524149,7981132,83907,270787,177288,1374914,0,141997,3108900,249716,121282,131944,614469,114881,158223,147197,52259,122410,181610,163501,218387,634575,242554,59260,40377,24186,32311,31027,14183,434096,65826,130832,38860,40126,404014,90331,55773,28779,41904,142109
5808362,2875551,26358257,3859901,1247810,4152594,735388,4943470,478789,2283914,971605,1757355,250159,2906663,267131,1128830,1305754,160317,409851,3120386,1690521,119761,3933742,3334566,1063060,417270,62247,0,16587,627645,123236,3645450,279723,5552453,314917,296244,283949,329929,71222,400297,65708,58659,50623,1124924,1081689,126027,220909,86613,1596199,18052,114793,93354,8149,473,21999,13097,243772,19140,8432,6783
10614856,18965654,3341896,627785,8874094,668393,3251634,270113,1110766,1202146,1993108,244138,518188,229769,4536404,393164,115774,2348052,558443,286820,267932,1678044,95299,252077,24464,254478,683083,189066,0,48263,123568,42306,138035,17554,62997,23180,61018,100972,57707,7037,44220,94476,62032,33854,19048,12894,2050,10483,2194,28009,13164,7403,6086,1877,14461,23130,10148,5945,11219,3354
7885649,4095454,13075923,5308499,1836501,2657188,997352,2403234,797598,4166337,483383,1278884,411173,1818024,469655,779838,806493,235163,845295,2252219,840300,296797,697529,837909,10741724,667701,201303,587781,109978,0,501370,300682,259252,297518,4413004,290051,244051,1914138,180353,498581,124030,146812,146351,88224,137976,82717,507742,72701,145054,43225,47316,53530,79282,40031,32948,34874,210454,58304,215614,66003
39492818,4286453,12006759,19178938,7240908,7017980,1006446,4565060,1313315,6093600,1525995,17675811,555441,3527763,902941,7335613,840312,390027,1561568,1600884,832328,301853,537604,1204680,1971236,521853,103341,442319,149236,962770,0,231112,350784,418585,568159,564162,1300342,545128,151216,347586,177257,147034,52757,68533,90121,31082,92858,180512,54322,11500,51115,80264,22553,31699,34498,29339,47368,49820,12395,17107
2337894,2237316,15103741,3059583,145137,3871425,231092,3432410,301114,1334603,347239,885067,144256,2017066,66930,847037,858634,30873,344326,3389971,1590174,27819,4025887,7227570,954756,118629,14781,4794848,1946,389318,76520,0,132280,1582131,352583,206598,262885,293995,15141,173369,28533,57314,17076,389475,420113,76490,168001,67202,387576,5736,54775,43063,1185,485,1980,4538,91120,5205,2758,1361
7441354,30151410,5991229,5904050,4944492,929950,1415941,1952407,688572,1343515,194770,2748675,6275839,1093514,453544,2186663,918541,832034,890455,231622,585132,571764,136267,263240,190866,644590,231940,28031,53755,68414,104048,24462,0,41949,187175,135139,72707,214280,73317,47920,36685,117915,49504,21847,13834,122747,76895,18757,14535,85424,13020,18522,7680,3501,160711,8166,23789,6175,21328,511348
2242756,1294952,11905798,2372899,434034,3755942,614696,7124051,250952,1627037,357288,991238,291240,1589383,75207,584749,2599852,88314,101210,1571598,781216,31875,1384742,1704814,447357,283103,25070,2818132,5694,225037,120282,975131,241166,0,509311,144599,175634,222323,21477,788755,26955,15861,22960,352694,1980838,44446,73925,76684,177291,1176,155481,25901,1998,853,21394,16715,61552,2290,5997,2198
